Country,Date,COCL,COEM,COLS,COPD,COSC,LWI,TO3,Var_COCL,Var_COEM,Var_COLS,Var_COPD,Var_COSC,Var_LWI,Var_TO3
Luxembourg,201902,0.00061424763,2.3619068e-10,4.2074313e-11,1.3332455e-11,162.12823,0.99999505,323.35043,1.1109904e-09,9.417446e-23,6.4158423e-23,1.3641868e-23,3215.6719,-2.4396596e-11,2380.7493
Malta,201902,0.0006385028,1.7662063e-11,7.488723e-11,2.5040131e-11,95.539825,0.0,330.6687,1.1448095e-09,1.0303489e-29,8.0423965e-23,4.6117763e-24,72.78974,0.0,1752.1223
Netherlands,201902,0.0006648926,6.170434e-10,3.9881515e-11,1.2615024e-11,193.37251,0.99999505,328.5421,1.4113388e-09,3.5648423e-24,7.438957e-23,1.3849595e-23,6835.054,-2.4396596e-11,2478.1633
Poland,201902,0.0006498174,1.8182382e-10,3.0226762e-11,8.7324835e-12,144.85526,0.99999505,341.76712,8.693705e-10,1.5672431e-25,4.7805088e-23,5.3524212e-24,1290.0457,-2.4396596e-11,1867.3275
Portugal,201902,0.00059582095,4.5372574e-11,7.205216e-11,2.7944529e-11,92.68801,0.99999505,288.39655,6.7261874e-10,1.361837e-23,8.087605e-23,1.9198621e-23,47.399536,-2.4396596e-11,1128.7264
Romania,201902,0.00059194665,5.2299224e-11,3.835108e-11,1.097672e-11,112.52769,0.99999505,340.61276,1.1893277e-09,7.5127065e-25,6.705762e-23,4.09903e-24,263.3138,-2.4396596e-11,2788.4248
Slovakia,201902,0.0006162055,4.3711024e-11,3.517456e-11,1.0319711e-11,117.69092,0.99999505,335.46622,8.880737e-10,1.04013046e-22,5.020151e-23,5.8930852e-24,414.66626,-2.4396596e-11,1875.0012
Slovenia,201902,0.0006089347,1.6810536e-10,4.7486036e-11,1.4362266e-11,122.85963,0.99999505,327.59048,1.0814796e-09,3.7233014e-25,1.0940632e-22,1.3655073e-23,581.6753,-2.4396596e-11,1600.5895
Spain,201902,0.0005645347,1.2639635e-09,6.656106e-11,2.3422642e-11,158.34149,0.99999505,296.8319,6.1102695e-10,1.3900076e-22,9.2367484e-23,1.6718864e-23,2003.7358,-2.4396596e-11,1300.2682
Sweden,201902,0.00065885513,2.0596858e-11,1.8057295e-11,4.9313205e-12,121.26602,0.78420997,358.63007,1.3212035e-09,2.6190182e-28,1.7387783e-23,2.4336826e-24,757.1706,0.0026682597,2116.275
Ireland,201902,0.0006256064,1.8135589e-11,3.5207053e-11,1.1022462e-11,92.30462,0.99999505,334.25772,9.201277e-10,1.6420285e-25,4.9454122e-23,1.0466203e-23,97.43933,-2.4396596e-11,2848.9307
Italy,201902,0.00062814174,5.896767e-10,7.125678e-11,2.356361e-11,131.55988,0.99999505,327.06738,9.930975e-10,1.2985277e-22,1.1713086e-22,1.4250084e-23,851.1905,-2.4396596e-11,1121.0286
Denmark,201902,0.0006524434,1.0513089e-10,2.8456432e-11,8.4963946e-12,129.2936,0.99999505,339.39734,5.8953453e-10,1.0087116e-27,5.1286148e-23,8.463884e-24,2099.524,-2.4396596e-11,2723.287
Finland,201902,0.0006418192,4.2704125e-11,1.3295919e-11,3.4247544e-12,110.50793,0.99999505,372.95215,1.2430553e-09,1.7361045e-25,8.589481e-24,1.0242353e-24,394.06863,-2.4396596e-11,1764.6497
Belgium,201902,0.00063752837,7.1796485e-10,4.5653214e-11,1.4789142e-11,150.61545,0.99999505,325.38782,1.3248145e-09,3.5160453e-25,7.4602645e-23,1.632164e-23,2430.8628,-2.4396596e-11,2480.8435
Croatia,201902,0.0006049585,8.091756e-11,5.120805e-11,1.57639e-11,113.50781,0.99441797,328.132,9.335622e-10,2.4067332e-20,1.0680322e-22,1.1805743e-23,380.03506,1.3756789e-08,1517.9233
Austria,201903,0.00054045627,5.4617356e-11,7.338434e-11,2.158666e-11,98.010765,1.000009,346.1357,9.784841e-10,3.1009834e-24,2.8939876e-22,2.714276e-23,258.75626,-7.945089e-11,1341.2334
Bulgaria,201903,0.0006173732,1.0457073e-10,9.6896983e-11,3.147686e-11,111.390465,1.000009,338.47916,9.970241e-10,9.601734e-22,2.9273982e-22,3.059966e-23,244.82016,-7.945089e-11,804.5141
Cyprus,201903,0.0005891028,1.5226702e-10,9.17928e-11,3.39901e-11,91.2594,0.91665065,332.38812,4.1056705e-10,5.6414086e-25,1.0063855e-22,1.3622033e-23,35.6142,3.8425516e-09,968.19403
Czech Republic,201903,0.0006282996,1.7548274e-10,7.97292e-11,2.3886258e-11,115.45246,1.000009,359.2961,1.1640343e-09,2.785588e-23,3.5312148e-22,3.8520504e-23,557.675,-7.945089e-11,2011.4467
Estonia,201903,0.00063931424,1.7629941e-11,4.3298604e-11,1.1854129e-11,96.58494,1.000009,393.93274,6.4986105e-10,2.4806834e-24,1.204613e-22,1.3925588e-23,65.55976,-7.945089e-11,2888.733
France,201903,0.0005856074,6.32346e-11,8.94673e-11,2.95098e-11,92.12492,1.000009,336.05197,7.470765e-10,1.26962805e-20,2.2580703e-22,2.6228357e-23,131.23416,-7.945089e-11,910.375
Germany,201903,0.0006202105,1.07045324e-10,8.0310314e-11,2.4098562e-11,110.27947,1.000009,360.9982,1.1671558e-09,2.1295751e-23,3.0211146e-22,3.4637497e-23,353.3171,-7.945089e-11,2240.6826
Greece,201903,0.0005544642,6.2648706e-11,9.1309516e-11,3.1538862e-11,94.77389,1.000009,332.56186,7.32135e-10,3.2323226e-22,1.9884328e-22,1.4303099e-23,140.89236,-7.945089e-11,1021.17065
Hungary,201903,0.0006586137,2.4103328e-10,8.765887e-11,2.7691845e-11,121.109764,1.000009,351.02884,9.066887e-10,3.9868437e-21,4.0498662e-22,4.7634274e-23,664.6762,-7.945089e-11,1341.4634
Latvia,201903,0.0006420327,1.2053006e-10,4.7747757e-11,1.3326979e-11,101.161934,0.73517245,391.64468,6.7312106e-10,2.580286e-24,1.6288832e-22,1.8391704e-23,99.18997,0.0032007028,2874.532
Lithuania,201903,0.0006431533,1.2189613e-10,5.6741938e-11,1.6210458e-11,103.00014,1.000009,384.62762,7.343777e-10,1.466177e-23,2.3214212e-22,2.7164974e-23,148.48157,-7.945089e-11,2827.3245
Luxembourg,201903,0.0006166536,2.420674e-10,8.295012e-11,2.5229003e-11,119.31753,1.000009,352.44455,1.4638667e-09,1.5233129e-22,3.1564773e-22,3.0961705e-23,1075.5076,-7.945089e-11,1945.6907
Malta,201903,0.0006238533,1.7665468e-11,1.00501725e-10,3.7587287e-11,93.36264,0.0,318.58136,1.3582898e-09,7.8804005e-30,2.1990688e-22,1.3519404e-23,137.5643,0.0,827.0002
Netherlands,201903,0.0006569207,6.1993066e-10,8.0063234e-11,2.4692505e-11,138.51173,1.000009,361.21222,1.9491573e-09,2.3847721e-23,3.1495381e-22,3.4829414e-23,2997.5632,-7.945089e-11,2510.9248
Poland,201903,0.00064115593,1.871432e-10,6.7116916e-11,2.0067052e-11,108.961784,1.000009,369.78812,8.136917e-10,2.4259024e-23,3.0313067e-22,3.5987128e-23,229.3197,-7.945089e-11,2310.5498
Portugal,201903,0.0006086054,7.087859e-11,1.130786e-10,4.401304e-11,94.73086,1.000009,315.61087,1.0411993e-09,1.6126592e-21,2.4017273e-22,2.538049e-23,321.1446,-7.945089e-11,1463.3218
Romania,201903,0.0006030982,1.178394e-10,7.97207e-11,2.4636501e-11,108.51534,1.000009,349.23428,5.914451e-10,1.3133328e-20,3.1936167e-22,3.721376e-23,236.11562,-7.945089e-11,1110.1643
Slovakia,201903,0.00062075304,5.020701e-11,7.580353e-11,2.3267666e-11,104.98873,1.000009,355.3981,8.6016627e-10,1.0688063e-22,3.452217e-22,4.1145997e-23,285.3087,-7.945089e-11,1565.4166
Slovenia,201903,0.0006172243,1.7026437e-10,9.915166e-11,3.1293225e-11,114.90523,1.000009,345.95575,1.303412e-09,4.845319e-23,3.88264e-22,4.0815442e-23,356.3794,-7.945089e-11,1172.1719
Spain,201903,0.00057256635,1.279579e-09,1.0642452e-10,3.768284e-11,140.40327,1.000009,315.71558,6.3232364e-10,4.804396e-22,2.3893468e-22,2.1160194e-23,1943.3346,-7.945089e-11,1229.6837
Sweden,201903,0.00064373383,2.0774894e-11,4.206588e-11,1.1521337e-11,104.77282,0.77519476,390.51965,7.526472e-10,2.1069144e-26,1.1442408e-22,1.3757444e-23,406.8798,8.3934436e-05,2648.9136
Ireland,201903,0.00062680355,2.0004987e-11,6.726372e-11,2.1468107e-11,85.78634,1.000009,360.5127,1.1457185e-09,5.5777115e-25,1.378228e-22,2.157132e-23,46.308697,-7.945089e-11,3139.4812
Italy,201903,0.0006253339,5.990685e-10,1.1418124e-10,4.0259233e-11,126.228004,1.000009,336.91202,1.0179199e-09,3.2312662e-22,3.5109059e-22,3.348793e-23,939.77765,-7.945089e-11,1102.8109
Denmark,201903,0.0006345784,1.0544913e-10,6.3322805e-11,1.9119113e-11,96.20971,1.000009,376.4727,1.1701499e-09,6.8328747e-26,2.4326534e-22,2.9444113e-23,164.54681,-7.945089e-11,2657.3816
Finland,201903,0.00062706677,4.3503093e-11,3.249081e-11,8.434623e-12,99.50253,1.000009,395.01025,7.0472017e-10,1.7777708e-24,9.043864e-23,9.1740745e-24,105.32163,-7.945089e-11,2728.9036
Belgium,201903,0.00064625725,7.2320233e-10,8.8414207e-11,2.7377219e-11,137.3493,1.000009,353.78152,1.9759352e-09,3.3372025e-23,3.6305777e-22,3.4672838e-23,2710.239,-7.945089e-11,2084.9612
Croatia,201903,0.0006114808,7.7308465e-11,9.773065e-11,3.1646016e-11,108.07872,0.99442846,343.89258,1.1066896e-09,1.5656458e-20,2.8167694e-22,3.390314e-23,539.52637,8.941917e-09,1073.8392
Austria,201904,0.00056287705,6.4478436e-11,1.2930597e-10,3.903388e-11,111.775635,1.0000064,354.74158,6.5210093e-10,1.5858575e-23,3.8351585e-22,4.7222448e-23,293.04968,-4.1264103e-11,647.57733
Bulgaria,201904,0.0006300942,1.2004596e-10,1.6483835e-10,5.4210775e-11,106.66225,1.0000064,361.00153,8.738239e-10,8.119146e-22,6.5952583e-22,1.1951897e-22,110.73082,-4.1264103e-11,495.43436
Cyprus,201904,0.000616358,1.5481115e-10,1.3866149e-10,5.2077904e-11,95.03059,0.9166337,347.30768,2.6031594e-10,7.661617e-25,2.3056067e-22,7.957054e-23,87.85239,3.261831e-09,877.2152
Czech Republic,201904,0.00065989624,2.0445773e-10,1.501542e-10,4.697838e-11,122.767975,1.0000064,354.03583,7.440956e-10,1.8194289e-22,6.7282595e-22,8.922255e-23,366.46503,-4.1264103e-11,892.3771
Estonia,201904,0.00071431923,3.1080798e-11,1.0423202e-10,2.9641144e-11,111.84814,1.0000064,357.13705,2.3434308e-09,1.01883917e-22,4.718817e-22,5.871291e-23,657.37085,-4.1264103e-11,1442.3448
France,201904,0.0006112499,6.8077335e-11,1.343224e-10,4.310458e-11,99.2443,1.0000064,367.91766,1.5413987e-09,1.3404482e-22,3.606829e-22,5.0298267e-23,193.93199,-4.1264103e-11,393.52875
Germany,201904,0.00065417204,1.3543702e-10,1.4310585e-10,4.4450978e-11,121.627174,1.0000064,361.86655,7.453145e-10,2.74679e-22,4.3755487e-22,7.9746246e-23,362.80304,-4.1264103e-11,1222.9406
Greece,201904,0.0005871792,9.043867e-11,1.3917154e-10,4.6816218e-11,99.30504,1.0000064,353.167,1.0317261e-09,9.420997e-22,2.719414e-22,6.609692e-23,130.37265,-4.1264103e-11,625.4389
Hungary,201904,0.0006875395,2.477053e-10,1.7061084e-10,5.4762375e-11,123.966545,1.0000064,357.00687,1.1274874e-09,2.1179918e-22,8.3540415e-22,1.0893079e-22,380.01923,-4.1264103e-11,645.4982
Latvia,201904,0.0007174236,1.402365e-10,1.1622539e-10,3.3273016e-11,118.13634,0.7288869,363.53943,2.3806188e-09,7.1641465e-22,5.3415334e-22,7.224748e-23,750.173,-4.3699921e-10,1668.8453
Lithuania,201904,0.00071015913,1.5660172e-10,1.35043e-10,3.9412213e-11,122.75539,1.0000064,355.16614,1.6457764e-09,1.8563985e-21,6.010434e-22,9.2397915e-23,764.87646,-4.1264103e-11,1030.8553
Luxembourg,201904,0.00064924516,2.5344649e-10,1.4039912e-10,4.3166297e-11,135.93527,1.0000064,369.91528,1.5602281e-09,7.0929867e-23,4.523835e-22,7.553221e-23,1321.1218,-4.1264103e-11,884.3384
Malta,201904,0.0006527271,1.7672619e-11,1.4439908e-10,5.4909653e-11,91.687225,0.0,340.50452,1.2746767e-09,8.0779355e-30,2.4923112e-22,7.228696e-23,57.48956,0.0,511.0352
Netherlands,201904,0.0007037851,6.4472566e-10,1.4557716e-10,4.4953846e-11,167.4439,1.0000064,374.2379,2.1292024e-09,1.4425745e-21,5.2149784e-22,9.2444786e-23,4885.1504,-4.1264103e-11,1214.2123
Poland,201904,0.0006839523,2.1843789e-10,1.455496e-10,4.55328e-11,120.71698,1.0000064,349.98682,7.6009743e-10,3.589732e-22,6.376603e-22,1.1806131e-22,468.24966,-4.1264103e-11,866.89185
Portugal,201904,0.0006338998,9.864745e-11,1.5494796e-10,5.5317365e-11,95.281364,1.0000064,352.93506,1.2138851e-09,1.6960444e-22,1.4160853e-22,5.523182e-23,140.68597,-4.1264103e-11,1108.445
Romania,201904,0.0006237935,1.00872005e-10,1.5738567e-10,4.8992293e-11,107.13208,1.0000064,356.82767,9.10656e-10,2.5941646e-21,6.8940617e-22,8.825365e-23,159.64807,-4.1264103e-11,415.17093
Slovakia,201904,0.0006552242,7.1059526e-11,1.564686e-10,4.856362e-11,113.69063,1.0000064,351.11288,9.403349e-10,2.3393252e-22,7.705232e-22,9.5390436e-23,222.38745,-4.1264103e-11,523.9523
Slovenia,201904,0.0006402139,1.6913025e-10,1.6293951e-10,5.0969555e-11,119.34345,1.0000064,359.67728,1.2405473e-09,2.4719376e-25,4.734034e-22,6.1789064e-23,370.40402,-4.1264103e-11,591.2835
Spain,201904,0.0005885566,1.296352e-09,1.5257687e-10,5.1170384e-11,134.98152,1.0000064,359.02924,8.916322e-10,3.2920145e-22,2.3265028e-22,6.510524e-23,1258.7999,-4.1264103e-11,1031.4054
Sweden,201904,0.0007136328,2.1809636e-11,9.7717646e-11,2.8489168e-11,113.534035,0.7735199,355.1302,1.6859606e-09,3.6250303e-25,3.1429057e-22,5.1209663e-23,707.4815,1.0196768e-08,1743.9806
Ireland,201904,0.0006667504,3.174705e-11,1.0423325e-10,3.328922e-11,107.41528,1.0000064,374.7188,3.383796e-09,6.860524e-22,1.8451358e-22,4.1561007e-23,630.2854,-4.1264103e-11,1266.024
Italy,201904,0.0006580943,6.1576044e-10,1.7544759e-10,5.887644e-11,133.33907,1.0000064,361.53745,1.9801307e-09,3.7500723e-22,4.955073e-22,7.380979e-23,1079.0876,-4.1264103e-11,571.1558
Denmark,201904,0.0006837586,1.0848282e-10,1.2615092e-10,3.9821476e-11,112.43694,1.0000064,370.42044,9.0901686e-10,2.396887e-23,3.3934595e-22,7.8173913e-23,517.44434,-4.1264103e-11,1747.5873
Finland,201904,0.00069754745,5.7049e-11,8.660239e-11,2.4984006e-11,103.72149,1.0000064,352.17828,1.7553955e-09,1.0586253e-22,2.746583e-22,4.4949944e-23,329.80817,-4.1264103e-11,1797.0571
Belgium,201904,0.0006904037,7.349778e-10,1.5100365e-10,4.6264735e-11,165.45079,1.0000064,374.264,3.8183257e-09,3.072884e-23,4.9958094e-22,8.832819e-23,4378.715,-4.1264103e-11,994.2813
Croatia,201904,0.0006346078,3.7523082e-11,1.5482282e-10,4.8993892e-11,110.90018,0.9944336,361.0277,1.7190184e-09,8.253581e-22,4.0123016e-22,5.2238394e-23,376.00058,5.9660734e-09,580.9738
Austria,201905,0.00054391834,8.4395976e-11,2.0130683e-10,6.476893e-11,99.97739,1.0000206,359.42493,1.1285446e-09,8.0853036e-23,4.6967723e-22,1.0037342e-22,145.38557,-4.2317816e-10,551.88947
Bulgaria,201905,0.00060673524,1.6578108e-10,2.593441e-10,9.7115455e-11,106.85381,1.0000206,347.99374,1.0867455e-09,1.4364693e-22,7.0850554e-22,2.0430354e-22,247.22838,-4.2317816e-10,423.41693
Cyprus,201905,0.0005815753,1.6076457e-10,1.930219e-10,9.222115e-11,91.00702,0.9166239,323.0823,4.2837497e-10,2.9728555e-22,2.613709e-22,2.5770286e-22,112.99928,2.7093954e-09,253.27904
Czech Republic,201905,0.00062617485,2.6860533e-10,2.3962235e-10,8.252033e-11,118.379684,1.0000206,362.47433,1.0184416e-09,5.827257e-22,6.0179384e-22,2.0179451e-22,652.4005,-4.2317816e-10,778.98535
Estonia,201905,0.000615127,7.7594015e-11,1.5376442e-10,5.4855082e-11,91.56729,1.0000206,371.58655,8.382201e-10,4.633607e-22,2.126703e-22,1.0392999e-22,97.37825,-4.2317816e-10,2124.783
France,201905,0.00057638506,1.183082e-10,1.9965807e-10,7.265628e-11,92.0511,1.0000206,353.676,1.114883e-09,4.1409707e-22,3.8075254e-22,1.0265887e-22,145.18881,-4.2317816e-10,594.0486
Germany,201905,0.00060874125,1.9432932e-10,2.2572215e-10,7.777484e-11,110.55173,1.0000206,366.98053,1.2628835e-09,6.0860677e-22,4.058136e-22,1.8042627e-22,460.2652,-4.2317816e-10,1323.9382
Greece,201905,0.0005544405,1.4168199e-10,1.9577873e-10,7.5048516e-11,94.60663,1.0000206,345.17715,6.252847e-10,2.2312187e-21,2.194579e-22,9.011094e-23,124.226685,-4.2317816e-10,368.38437
Hungary,201905,0.0006584817,2.8370734e-10,2.698803e-10,9.448935e-11,121.24362,1.0000206,363.07596,1.2068517e-09,1.6568451e-22,8.563355e-22,1.9507991e-22,607.65137,-4.2317816e-10,355.40277
Latvia,201905,0.0006262796,1.7920529e-10,1.6844828e-10,6.040337e-11,96.85638,0.7288758,365.5494,6.790788e-10,6.287091e-22,2.2404596e-22,1.2031009e-22,142.01819,2.9773644e-09,1577.9111
Lithuania,201905,0.0006347348,2.0085164e-10,1.9312688e-10,6.932368e-11,100.183556,1.0000206,358.11713,6.669511e-10,3.5729404e-22,2.9987978e-22,1.4542932e-22,173.94925,-4.2317816e-10,880.7585
Luxembourg,201905,0.0006065947,2.8867625e-10,2.2644346e-10,7.841005e-11,122.313515,1.0000206,364.0163,1.6693918e-09,3.4430613e-22,5.3857667e-22,1.8236432e-22,1706.0408,-4.2317816e-10,1121.388
Malta,201905,0.00061883323,1.7680137e-11,1.9495511e-10,8.1998734e-11,86.456764,0.0,348.53348,7.394476e-10,9.6666246e-30,2.737223e-22,8.891775e-23,41.63809,0.0,309.1937
Netherlands,201905,0.00064122403,6.474209e-10,2.2986821e-10,8.140367e-11,133.40556,1.0000206,366.45273,1.7778866e-09,5.636625e-22,5.660455e-22,2.0459958e-22,2721.7683,-4.2317816e-10,1236.3812
Poland,201905,0.0006402936,2.808065e-10,2.3825575e-10,8.5017854e-11,111.24032,1.0000206,361.04922,9.113082e-10,5.853845e-22,8.362174e-22,2.4652524e-22,545.88763,-4.2317816e-10,717.05927
Portugal,201905,0.00059300644,1.4765536e-10,1.830264e-10,8.280825e-11,91.368935,1.0000206,331.25818,9.60234e-10,1.4603902e-22,8.585173e-23,7.521168e-23,209.13454,-4.2317816e-10,380.05026
