station_european_code	station_local_code	country_iso_code	country_name	station_name	station_start_date	station_end_date	type_of_station	station_ozone_classification	station_type_of_area	station_subcat_rural_back	street_type	station_longitude_deg	station_latitude_deg	station_altitude	station_city	lau_level1_code	lau_level2_code	lau_level2_name	EMEP_station
RO0116A	RO-BR-4	RO	ROMANIA	BR-4	2008-01-01		Industrial	urban	urban		Unknown	27.949608	45.297390	28	BRAILA				no
RO0117A	RO-BR-5	RO	ROMANIA	BR-5	2008-01-01		Industrial	rural	rural		Unknown	27.922554	45.168530	28	SAT CHISCANI				no
RO0112A	RO-BT-1	RO	ROMANIA	BT-1	2008-01-01		Background	urban	urban		Unknown	26.658577	47.739887	169	BOTOSANI				no
RO0118A	RO-BV-1	RO	ROMANIA	BV-1	2008-01-01		Traffic		urban		Wide street: L/H > 1.5	25.630680	45.637714	599	BRASOV				no
RO0119A	RO-BV-2	RO	ROMANIA	BV-2	2008-01-01		Background	urban	urban		Unknown	25.603590	45.649750	569	BRASOV				no
RO0120A	RO-BV-3	RO	ROMANIA	BV-3	2008-01-01		Traffic	urban	urban		Wide street: L/H > 1.5	25.616217	45.659370	566	BRASOV				no
RO0121A	RO-BV-4	RO	ROMANIA	BV-4	2008-01-01		Background	suburban	suburban		Unknown	25.624140	45.718143	516	SANPETRU				no
RO0122A	RO-BV-5	RO	ROMANIA	BV-5	2008-01-01		Industrial	urban	urban		Unknown	25.625565	45.651608	579	BRASOV				no
RO0123A	RO-BZ-1	RO	ROMANIA	BZ-1	2008-01-01		Background	urban	urban		Unknown	26.819145	45.153603	98	BUZAU				no
RO0088A	DJ-DJ 3	RO	ROMANIA	Billa	2006-01-01		Industrial		urban			23.733894	44.326942	83					no
RO0089A	DJ-DJ 5	RO	ROMANIA	Breasta	2006-01-01		Background		suburban			23.720003	44.341942	128					no
RO0073A	CLU1	RO	ROMANIA	CJ-1	2005-07-19		Traffic		urban		Wide street: L/H > 1.5	23.615570	46.778332	349	CLUJ-NAPOCA				no
RO0074A	CLU2	RO	ROMANIA	CJ-2	2005-07-19		Background		urban			23.596678	46.775002	333	CLUJ				no
RO0075A	CLU3	RO	ROMANIA	CJ-3	2005-07-19		Background		urban			23.550280	46.765280	350	CLUJ				no
RO0076A	CLU4	RO	ROMANIA	CJ-4	2005-07-19		Industrial		urban		Canyon street: L/H < 1.5	23.630569	46.782223	343	CLUJ-NAPOCA				no
RO0077A	CLU5	RO	ROMANIA	CJ-5	2005-07-19		Background		urban		Highway: average speed vehicles > 80 km/h	23.877500	47.153890	279	DEJ				no
RO0125A	RO-CL-1	RO	ROMANIA	CL-1	2010-01-01		Traffic		urban		Wide street: L/H > 1.5	27.316389	44.205000	13	CALARASI				no
RO0126A	RO-CL-2	RO	ROMANIA	CL-2	2010-01-01		Background		urban			27.327960	44.201760	12	CALARASI				no
RO0041A	MS-MS1	RO	ROMANIA	CNAR Directia Apelor Mures	1989-01-01	2007-12-31	Background		urban			24.562500	46.540554	309	TG. MURES				no
RO0018A	IS-IS2	RO	ROMANIA	CONEL	1989-01-01	2005-12-31	Traffic		urban		Wide street: L/H > 1.5	27.571949	47.165001	44	IASI				no
RO0127A	RO-CS-1	RO	ROMANIA	CS-1	2008-01-01		Industrial	urban	urban		Unknown	21.872139	45.299332	259	RESITA				no
RO0128A	RO-CS-2	RO	ROMANIA	CS-2	2008-01-01		Industrial	urban	urban		Unknown	22.352751	45.518608	283	OTELU ROSU				no
RO0129A	RO-CS-3	RO	ROMANIA	CS-3	2010-01-01		Traffic		urban		Wide street: L/H > 1.5	21.633370	44.723300	25	MOLDOVA NOUA				no
RO0130A	RO-CS-4	RO	ROMANIA	CS-4	2010-01-01		Traffic		rural		Unknown	22.243140	45.363140	230	BUCHIN				no
RO0131A	RO-CT-1	RO	ROMANIA	CT-1	2008-01-01		Traffic		urban		Canyon street: L/H < 1.5	28.636391	44.177952	20	CONSTANTA				no
RO0132A	RO-CT-2	RO	ROMANIA	CT-2	2008-01-01		Background	urban	urban		Unknown	28.649770	44.176490	20	CONSTANTA				no
RO0133A	RO-CT-3	RO	ROMANIA	CT-3	2008-01-01		Background	suburban	suburban		Unknown	28.623131	44.312351	20	NAVODARI				no
RO0134A	RO-CT-4	RO	ROMANIA	CT-4	2008-01-01		Traffic		urban		Unknown	28.582516	43.815163	15	MANGALIA				no
RO0135A	RO-CT-5	RO	ROMANIA	CT-5	2008-01-01		Industrial	urban	urban		Unknown	28.623802	44.149406	20	CONSTANTA				no
RO0136A	RO-CT-6	RO	ROMANIA	CT-6	2008-01-01		Industrial	urban	urban		Unknown	28.610256	44.319626	20	NAVODARI				no
RO0137A	RO-CT-7	RO	ROMANIA	CT-7	2008-01-01		Industrial	urban	urban		Unknown	28.261230	44.248329	60	MEDGIDIA				no
RO0138A	RO-CV-1	RO	ROMANIA	CV-1	2008-01-01		Background	rural background	rural	regional	Unknown	25.804460	45.875120	523	SFANTU GHEORGHE				no
RO0052A	PH-PL3	RO	ROMANIA	Cart. Corlatesti	1998-01-01	2007-12-31	Background		suburban			26.008888	44.101944	47	PLOIESTI				no
RO0060A	CL-CL1	RO	ROMANIA	Chiciu	2003-01-01	2008-12-31	Background	rural background	rural			27.275010	44.140280	12	CALARASI				no
RO0009A	CS-r3	RO	ROMANIA	Combinatul Siderurgic Resita	1990-01-01	2007-12-31	Background		urban			21.887222	45.315277	260	RESITA				no
RO0063A	TR-T2	RO	ROMANIA	Criburi	2003-01-01	2007-12-31	Industrial	urban	urban			24.886114	43.713889	20	TURNU MAGURELE				no
RO0139A	RO-DB-1	RO	ROMANIA	DB-1	2008-01-01		Industrial	urban	urban		Unknown	25.478067	44.916218	261	TARGOVISTE				no
RO0140A	RO-DB-2	RO	ROMANIA	DB-2	2008-01-01		Industrial	urban	urban		Unknown	25.421743	45.131378	464	FIENI				no
RO0059A	GR-GR2	RO	ROMANIA	DGFP	2003-01-01	2008-12-31	Industrial	urban	urban			25.968910	43.895560	25	GIURGIU				no
RO0078A	CRA1	RO	ROMANIA	DJ-1	2006-01-01		Traffic		urban		Wide street: L/H > 1.5	23.806116	44.318611	118	CRAIOVA				no
RO0079A	CRA2	RO	ROMANIA	DJ-2	2006-01-01		Background		urban			23.796677	44.319164	120	CRAIOVA				no
RO0080A	CRA3	RO	ROMANIA	DJ-3	2006-01-01		Traffic		urban		Wide street: L/H > 1.5	23.778622	44.326664	83	CRAIOVA				no
RO0081A	CRA4	RO	ROMANIA	DJ-4	2006-01-01		Industrial		suburban			23.733614	44.386669	98	ISALNITA				no
RO0082A	CRA5	RO	ROMANIA	DJ-5	2006-01-01		Background		suburban			23.719720	44.342220	128	BREASTA				no
RO0061A	CL-CL2	RO	ROMANIA	DSV	2003-01-01	2008-12-31	Background	urban	urban			27.333890	44.206940	18	CALARASI				no
RO0017A	IS-IS1	RO	ROMANIA	Depoul C.F.R.	1989-01-01	2005-12-31	Background		urban			27.583071	47.133335	12	IASI				no
RO0008R	RO-EM-3	RO	ROMANIA	EM-3	2008-01-01		Background		rural	remote		25.134664	47.324792	908	SUCEAVA				yes
RO0150A	RO-GJ-1	RO	ROMANIA	GJ-1	2008-01-01		Industrial	urban	urban		Unknown	23.275267	45.051628	203	TARGU JIU				no
RO0151A	RO-GJ-2	RO	ROMANIA	GJ-2	2008-01-01		Industrial	urban	urban		Unknown	23.171091	44.899094	167	ROVINARI				no
RO0152A	RO-GJ-3	RO	ROMANIA	GJ-3	2010-01-01		Industrial		urban			23.375160	44.682110	123	TURCENI				no
RO0141A	RO-GL-1	RO	ROMANIA	GL-1	2008-01-01		Traffic		urban		Wide street: L/H > 1.5	28.018590	45.420280	87	GALATI				no
RO0142A	RO-GL-2	RO	ROMANIA	GL-2	2008-01-01		Background	urban	urban		Unknown	28.054740	45.431540	10	GALATI				no
RO0143A	RO-GL-3	RO	ROMANIA	GL-3	2008-01-01		Background	suburban	suburban		Unknown	28.034405	45.474155	67	GALATI				no
RO0144A	RO-GL-4	RO	ROMANIA	GL-4	2008-01-01		Industrial	urban	urban		Unknown	28.005966	45.411865	86	GALATI				no
RO0145A	RO-GL-5	RO	ROMANIA	GL-5	2008-01-01		Industrial	urban	urban		Unknown	27.441463	45.820141	50	GALATI				no
RO0207A	RO-GR-1	RO	ROMANIA	GR-1	2010-01-01		Traffic		urban		Wide street: L/H > 1.5	25.974130	43.912900	23	GIURGIU				no
RO0209A	RO-GR-3	RO	ROMANIA	GR-3	2010-01-01		Industrial		urban			25.931780	43.875440	23	GIURGIU				no
RO0210A	RO-GR-4	RO	ROMANIA	GR-4	2010-01-01		Background		rural			26.038740	43.963810	20	OINACU				no
RO0154A	RO-HD-1	RO	ROMANIA	HD-1	2008-01-01		Industrial	urban	urban		Unknown	22.908750	45.871390	187	DEVA				no
RO0155A	RO-HD-2	RO	ROMANIA	HD-2	2008-01-01		Industrial	urban	urban		Unknown	22.899347	45.895504	187	DEVA				no
RO0156A	RO-HD-3	RO	ROMANIA	HD-3	2008-01-01		Industrial	urban	urban		Unknown	22.916805	45.776814	255	HUNEDOARA				no
RO0157A	RO-HD-4	RO	ROMANIA	HD-4	2008-01-01		Industrial		urban		Unknown	22.991819	45.734566	230	CALAN				no
RO0153A	RO-HR-1	RO	ROMANIA	HR-1	2008-01-01		Background	rural background	rural	regional	Unknown	25.811360	46.326620	710	MIERCUREA CIUC				no
RO0159A	RO-IL-1	RO	ROMANIA	IL-1	2008-01-01		Industrial	urban	urban		Unknown	27.365920	44.564910	22	SLOBOZIA				no
RO0160A	RO-IL-2	RO	ROMANIA	IL-2	2008-01-01		Industrial	urban	urban		Unknown	26.652672	44.716969	60	URZICENI				no
RO0083A	IAS1	RO	ROMANIA	IS-1	2005-11-18		Traffic		urban		Wide street: L/H > 1.5	27.576675	47.157223	50	IASI				no
RO0084A	IAS2	RO	ROMANIA	IS-2	2005-11-18		Background		urban			27.583614	47.151112	44	IASI				no
RO0085A	IAS3	RO	ROMANIA	IS-3	2005-11-18		Industrial		urban			27.614458	47.158058	79	IASI				no
RO0086A	IAS4	RO	ROMANIA	IS-4	2005-11-18		Background	rural background	rural	near city		27.545280	47.198890	165	IASI				no
RO0087A	IAS5	RO	ROMANIA	IS-5	2005-11-18		Background		suburban			27.694720	47.136110	49	TOMESTI				no
RO0211A	IAS6	RO	ROMANIA	IS-6	2010-01-01		Background		urban			27.768664	47.215608	25	UNGHENI				no
RO0090A	DJ- DJ 4	RO	ROMANIA	Isalnita	2006-01-01		Industrial		urban			23.733894	44.386948	98					no
RO0013A	Gl_GL2	RO	ROMANIA	Laborator APM	1998-01-01		Traffic		urban		Wide street: L/H > 1.5	28.025007	45.425003	20	GALATI				no
RO0166A	RO-MH-1	RO	ROMANIA	MH-1	2008-01-01		Industrial	urban	urban		Unknown	22.694174	44.627495	69	DROBETA TURNU SEVERIN				no
RO0161A	RO-MM-1	RO	ROMANIA	MM-1	2008-01-01		Traffic		urban		Canyon street: L/H < 1.5	23.554810	47.652030	211	BAIA MARE				no
RO0162A	RO-MM-2	RO	ROMANIA	MM-2	2008-01-01		Background	urban	urban		Unknown	23.570590	47.651970	223	BAIA MARE				no
RO0163A	RO-MM-3	RO	ROMANIA	MM-3	2008-01-01		Background	suburban	suburban		Unknown	23.605290	47.751310	354	ZONA FIRIZA				no
RO0164A	RO-MM-4	RO	ROMANIA	MM-4	2008-01-01		Industrial	urban	urban		Unknown	23.614182	47.670994	259	BAIA MARE				no
RO0165A	RO-MM-5	RO	ROMANIA	MM-5	2008-01-01		Industrial	urban	urban		Unknown	23.628067	47.705055	290	ZONA FERNEZIU				no
RO0167A	RO-MS-1	RO	ROMANIA	MS-1	2008-01-01		Background	urban	urban		Unknown	24.559660	46.541050	328	TARGU MURES				no
RO0168A	RO-MS-2	RO	ROMANIA	MS-2	2008-01-01		Industrial	urban	urban		Unknown	24.533613	46.533356	308	TARGU MURES				no
RO0169A	RO-MS-3	RO	ROMANIA	MS-3	2010-01-01		Industrial		urban			24.101400	46.477500	279	LUDUS				no
RO0170A	RO-MS-4	RO	ROMANIA	MS-4	2010-01-01		Industrial		urban			24.308410	46.334090	300	TARNAVENI				no
RO0038A	SB-CM2	RO	ROMANIA	Micasasa nr. 119	1989-01-01	2007-12-31	Background		rural			24.066668	46.083332	300					no
RO0010A	CS-R4	RO	ROMANIA	Mociur-Uzina Constr. Masini Resita	1998-01-01	2007-12-31	Industrial		urban			21.379168	45.300831	235	RESITA				no
RO0057A		RO	ROMANIA	Moldomobila	1998-01-01	2005-12-31	Traffic		urban		Wide street: L/H > 1.5	27.606117	47.143890	43	IASI				no
RO0171A	RO-NT-1	RO	ROMANIA	NT-1	2008-01-01		Background	urban	urban		Unknown	26.390005	46.930000	360	PIATRA NEAMT				no
RO0172A	RO-NT-2	RO	ROMANIA	NT-2	2008-01-01		Industrial	urban	urban		Unknown	26.920002	46.950283	206	ROMAN				no
RO0173A	RO-NT-3	RO	ROMANIA	NT-3	2009-01-01		Industrial		urban			26.034070	46.898740	400	TASCA				no
RO0003A	MM-BM16	RO	ROMANIA	Nr. 16 St. electrica	1998-01-01	2007-12-31	Industrial		urban			23.606390	47.661667	239	BAIA MARE				no
RO0002A	MM-BM4	RO	ROMANIA	Nr. 4 Nod de presiune	1998-01-01	2008-12-31	Industrial		urban			23.617789	47.675833	228	BAIA MARE				no
RO0004A	MM-BM19	RO	ROMANIA	Nr.19 SIL Tautii de Sus	1998-01-01	2007-12-31	Background		suburban			23.620556	47.655556	258	BAIA MARE				no
RO0005A	MM-BM23	RO	ROMANIA	Nr.23 Fabrica de paine	1998-01-01	2007-12-31	Background		urban			23.590834	47.650558	241	BAIA MARE				no
RO0006A	MM-BM29	RO	ROMANIA	Nr.29 Agrochimie	1989-01-01	2007-12-31	Background		urban			23.618610	47.657501	228	BAIA MARE				no
RO0007A	MM-BM31	RO	ROMANIA	Nr.31 Sediu APM	1998-01-01	2007-12-31	Background		urban			23.552221	47.661945	208	BAIA MARE				no
RO0054A	MM-BM36	RO	ROMANIA	Nr.36 EGA Baia Mare	1998-01-01	2005-12-31	Background		urban			23.575565	47.655003	226	BAIA MARE				no
RO0174A	RO-OT-1	RO	ROMANIA	OT-1	2008-01-01		Industrial	urban	urban		Unknown	24.351110	44.429440	169	SLATINA				no
RO0039A	SB-CM3	RO	ROMANIA	Observator	1989-01-01	2007-12-31	Industrial		urban			24.408333	46.137501	297	COPSA MICA				no
RO0175A	RO-PH-1	RO	ROMANIA	PH-1	2008-01-01		Traffic		urban		Wide street: L/H > 1.5	25.998533	44.941032	160	PLOIESTI				no
RO0176A	RO-PH-2	RO	ROMANIA	PH-2	2008-01-01		Background	urban	urban		Unknown	26.025900	44.939200	160	PLOIESTI				no
RO0177A	RO-PH-3	RO	ROMANIA	PH-3	2008-01-01		Background	suburban	suburban		Unknown	26.018019	44.984646	150	BLEJOI				no
RO0178A	RO-PH-4	RO	ROMANIA	PH-4	2008-01-01		Industrial	suburban	suburban		Unknown	26.025917	44.850227	140	BRAZI, SAT BRAZII DE JOS				no
RO0179A	RO-PH-5	RO	ROMANIA	PH-5	2008-01-01		Traffic		urban		Wide street: L/H > 1.5	26.036814	44.922920	160	PLOIESTI				no
RO0180A	RO-PH-6	RO	ROMANIA	PH-6	2008-01-01		Industrial	urban	urban		Unknown	26.048607	44.943611	160	PLOIESTI				no
RO0036A	SB-MD3	RO	ROMANIA	Policlinica	1989-01-01	2007-12-31	Background		urban			24.352777	46.163891	228	MEDIAS				no
RO0062A	TR-T1	RO	ROMANIA	Primaria Turnu Magurele	2003-01-01	2007-12-31	Background	urban	urban			24.870836	43.747222	28	TURNU MAGURELE				no
RO0064A	TR-Z1	RO	ROMANIA	Primaria Zimnicea	2003-01-01	2007-12-31	Background	urban	urban			25.370836	43.655556	31	ZIMNICEA				no
RO0020A	IS-IS4	RO	ROMANIA	S.C. Bucium S.A.	1989-01-01	2005-12-31	Traffic		urban		Wide street: L/H > 1.5	27.613903	47.126110	48	IASI				no
RO0019A	IS-IS3	RO	ROMANIA	S.C. Niciman S.A.	1998-01-01	2005-12-31	Industrial		urban			27.561954	47.175003	44	IASI				no
RO0184A	RO-SB-1	RO	ROMANIA	SB-1	2008-01-01		Background	urban	urban		Unknown	24.153470	45.785110	445	SIBIU				no
RO0185A	RO-SB-2	RO	ROMANIA	SB-2	2008-01-01		Industrial	urban	urban		Unknown	24.184441	45.797497	415	SIBIU				no
RO0186A	RO-SB-3	RO	ROMANIA	SB-3	2008-01-01		Industrial	urban	urban		Unknown	24.229443	46.113052	285	COPSA MICA				no
RO0187A	RO-SB-4	RO	ROMANIA	SB-4	2008-01-01		Industrial	urban	urban		Unknown	24.339998	46.158890	320	MEDIAS				no
RO0043A	MS-MS3	RO	ROMANIA	SC FORAJ SONDE SA Targu Mures	1989-01-01	2007-12-31	Background		urban			24.542500	46.543331	309	TG. MURES				no
RO0181A	RO-SJ-1	RO	ROMANIA	SJ-1	2008-01-01		Industrial	urban	urban		Unknown	23.046906	47.195068	275	ZALAU				no
RO0182A	RO-SM-1	RO	ROMANIA	SM-1	2008-01-01		Background	urban	urban		Unknown	22.877020	47.799680	123	SATU MARE				no
RO0183A	RO-SM-2	RO	ROMANIA	SM-2	2010-01-01		Traffic		suburban		Unknown	22.459070	47.689760	160	CAREI				no
RO0188A	RO-SV-1	RO	ROMANIA	SV-1	2008-01-01		Background	urban	urban		Unknown	26.249050	47.649180	385	SUCEAVA				no
RO0189A	RO-SV-2	RO	ROMANIA	SV-2	2008-01-01		Industrial	urban	urban		Unknown	26.283331	47.669666	350	SUCEAVA				no
RO0190A	RO-SV-3	RO	ROMANIA	SV-3	2010-01-01		Traffic		urban		Unknown	26.068120	47.953180	500	SIRET				no
RO0014A	PH-PL1	RO	ROMANIA	Sediu APM	1998-01-01	2008-12-31	Traffic		urban		Wide street: L/H > 1.5	26.010564	44.940556	47	PLOIESTI				no
RO0034A	SB-MD1	RO	ROMANIA	Sediu APM Medias	1989-01-01	2007-12-31	Background		urban			24.336111	46.175003	312	MEDIAS				no
RO0001A	SB-SB1	RO	ROMANIA	Sediu APM Sibiu	1988-01-01	2007-12-31	Background		urban			24.172222	45.772221	448	SIBIU				no
RO0042A	MS-MS2	RO	ROMANIA	Sediul APM Targu Mures	1989-01-01	2007-12-31	Background		urban			24.550278	46.553055	308	TG. MURES				no
RO0040A	SB-CM4	RO	ROMANIA	Spital	1989-01-01	2007-12-31	Background		urban			24.223612	46.116665	295	COPSA MICA				no
RO0200A	RO-TL-1	RO	ROMANIA	TL-1	2008-01-01		Traffic		urban		Wide street: L/H > 1.5	28.787367	45.180481	6	TULCEA				no
RO0201A	RO-TL-2	RO	ROMANIA	TL-2	2008-01-01		Industrial	urban	urban		Unknown	28.774727	45.176094	30	TULCEA				no
RO0202A	RO-TL-3	RO	ROMANIA	TL-3	2010-01-01		Traffic		suburban		Unknown	28.424400	45.271080	27	ISACCEA				no
RO0193A	RO-TM-1	RO	ROMANIA	TM-1	2008-01-29		Traffic		urban		Highway: average speed vehicles > 80 km/h	21.355139	45.728092	89	TIMISOARA				no
RO0194A	RO-TM-2	RO	ROMANIA	TM-2	2008-01-29		Background	urban	urban		Unknown	21.227450	45.755490	89	TIMISOARA				no
RO0195A	RO-TM-3	RO	ROMANIA	TM-3	2008-01-29		Background	suburban	suburban		Unknown	21.151780	45.913490	119	COMUNA SINANDREI				no
RO0196A	RO-TM-4	RO	ROMANIA	TM-4	2008-01-29		Industrial	urban	urban		Unknown	21.250942	45.736702	89	TIMISOARA				no
RO0197A	RO-TM-5	RO	ROMANIA	TM-5	2008-01-29		Traffic		urban		Highway: average speed vehicles > 80 km/h	21.220881	45.776657	89	TIMISOARA				no
RO0199A	RO-TM-7	RO	ROMANIA	TM-7	2010-01-01		Industrial		urban		Unknown	21.893410	45.694720	124	LUGOJ				no
RO0191A	RO-TR-1	RO	ROMANIA	TR-1	2010-01-01		Background		urban			25.312400	43.980330	41	ALEXANDRIA				no
RO0192A	RO-TR-2	RO	ROMANIA	TR-2	2010-01-01		Industrial		urban			24.901800	43.757980	31	TURNU MAGURELE				no
RO0037A	SB-CM1	RO	ROMANIA	Tirnava Scoala	1989-01-01	2004-01-01	Background		rural			24.223618	46.129166	295	TIRNAVA				no
RO0016A	PH-PL4	RO	ROMANIA	UBEMAR	1998-01-01	2002-12-31	Industrial		urban			26.086670	44.943611	47	PLOIESTI				no
RO0053A	PH-PL5	RO	ROMANIA	Unit. nr. 2 Pompieri	1998-01-01	2008-12-31	Industrial		urban			26.013067	44.915556	47	PLOIESTI				no
RO0203A	RO-VL-1	RO	ROMANIA	VL-1	2008-01-01		Background	urban	urban		Unknown	24.369790	45.082730	300	RAMNICU VALCEA				no
RO0204A	RO-VL-2	RO	ROMANIA	VL-2	2008-01-01		Industrial	urban	urban		Unknown	24.298624	45.038830	300	RAMNICU VALCEA				no
RO0206A	RO-VN-1	RO	ROMANIA	VN-1	2008-01-01		Background		rural		Unknown	27.211590	45.696620	52	FOCSANI				no
RO0205A	RO-VS-1	RO	ROMANIA	VS-1	2008-01-01		Background	urban	urban		Unknown	27.730890	46.632140	110	VASLUI				no
RO0035A	SB-MD2	RO	ROMANIA	Vitrometan	1989-01-01	2004-01-01	Industrial		urban			24.333334	46.154167	315	MEDIAS				no
