station_european_code	component_code	component_name	component_caption	measurement_unit	measurement_european_group_code	statistics_period	statistics_year	statistics_average_group	statistic_shortname	statistic_name	statistic_value	statistics_percentage_valid	statistics_number_valid	statistics_calculated
RO0092A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2009	day	Mean	annual mean	24.406	97.260	355	Y
RO0092A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2009	day	P95	95 percentile	49.420	97.260	355	Y
RO0092A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2009	day	P98	98 percentile	62.320	97.260	355	Y
RO0092A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2009	day	Max	maximum	91.580	97.260	355	Y
RO0092A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2009	day	Max36	36th highest value	42.340	97.260	355	Y
RO0092A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2009	day	Max8	8th highest value	62.320	97.260	355	Y
RO0092A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2009	day	Days(c > 50)	days with c > 50 ug/m3	18.000	97.260	355	Y
RO0092A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	P50	50 percentile	19.080	98.630	360	Y
RO0092A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	Mean	annual mean	21.346	98.630	360	Y
RO0092A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	P95	95 percentile	48.700	98.630	360	Y
RO0092A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	P98	98 percentile	49.240	98.630	360	Y
RO0092A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	Max	maximum	49.970	98.630	360	Y
RO0092A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	Max36	36th highest value	42.520	98.630	360	Y
RO0092A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	Max8	8th highest value	49.240	98.630	360	Y
RO0092A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	Days(c > 50)	days with c > 50 ug/m3	0.000	98.630	360	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	day	Mean	annual mean	43.459	98.356	359	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	day	P50	50 percentile	46.123	98.356	359	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	day	P95	95 percentile	90.191	98.356	359	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	day	P98	98 percentile	97.184	98.356	359	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	day	Max	maximum	107.566	98.356	359	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	dymax	Mean	annual mean	67.895	97.808	357	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	dymax	P50	50 percentile	74.954	97.808	357	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	dymax	P95	95 percentile	130.845	97.808	357	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	dymax	P98	98 percentile	138.411	97.808	357	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	dymax	Max	maximum	157.296	97.808	357	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	dymax	Max26	26th highest value	128.892	97.808	357	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	dymax	Days(c > 120)	days with c > 120 ug/m3	38.000	97.808	357	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	dymax	SOMO35	SOMO35 (c > 70 ug/m3, year,corrected)	6448.000	97.808	357	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	hour	P50	50 percentile	32.700	94.623	8289	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	hour	Mean	annual mean	43.458	94.623	8289	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	hour	P95	95 percentile	118.000	94.623	8289	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	hour	P98	98 percentile	129.480	94.623	8289	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	hour	Max	maximum	170.410	94.623	8289	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	hour	AOT40	AOT40 (c > 80 ug/m3,3 months,corrected)	17932.000	93.841	1036	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	day	P50	50 percentile	24.204	96.164	351	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	day	Mean	annual mean	24.526	96.164	351	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	day	P95	95 percentile	41.145	96.164	351	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	day	P98	98 percentile	43.683	96.164	351	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	day	Max	maximum	57.266	96.164	351	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	dymax	P50	50 percentile	36.967	96.164	351	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	dymax	Mean	annual mean	37.295	96.164	351	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	dymax	P95	95 percentile	61.089	96.164	351	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	dymax	P98	98 percentile	66.456	96.164	351	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	dymax	Max	maximum	78.527	96.164	351	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	dymax	Max26	26th highest value	59.073	96.164	351	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	dymax	Days(c > 120)	days with c > 120 ug/m3	0.000	96.164	351	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	dymax	SOMO35	SOMO35 (c > 70 ug/m3, year,corrected)	28.000	96.164	351	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	hour	P50	50 percentile	21.370	93.516	8192	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	hour	Mean	annual mean	24.578	93.516	8192	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	hour	P95	95 percentile	55.100	93.516	8192	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	hour	P98	98 percentile	61.890	93.516	8192	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	hour	Max	maximum	87.010	93.516	8192	Y
RO0092A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	hour	AOT40	AOT40 (c > 80 ug/m3,3 months,corrected)	23.000	91.757	1013	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	day	P50	50 percentile	16.313	97.260	355	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	day	Mean	annual mean	18.324	97.260	355	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	day	P95	95 percentile	35.739	97.260	355	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	day	P98	98 percentile	41.835	97.260	355	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	day	Max	maximum	75.590	97.260	355	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	hour	P50	50 percentile	15.070	93.710	8209	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	hour	Mean	annual mean	18.341	93.710	8209	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	hour	P95	95 percentile	44.810	93.710	8209	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	hour	P98	98 percentile	55.410	93.710	8209	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	hour	Max	maximum	112.980	93.710	8209	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	hour	Max19	19th highest value	84.340	93.710	8209	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	93.710	8209	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	day	P50	50 percentile	15.439	97.260	355	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	day	Mean	annual mean	18.690	97.260	355	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	day	P95	95 percentile	40.880	97.260	355	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	day	P98	98 percentile	48.504	97.260	355	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	day	Max	maximum	74.390	97.260	355	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	hour	P50	50 percentile	14.170	93.973	8232	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	hour	Mean	annual mean	18.608	93.973	8232	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	hour	P95	95 percentile	46.850	93.973	8232	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	hour	P98	98 percentile	59.760	93.973	8232	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	hour	Max	maximum	100.970	93.973	8232	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	hour	Max19	19th highest value	84.430	93.973	8232	Y
RO0092A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	93.973	8232	Y
RO0092A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2009	day	P50	50 percentile	23.430	97.260	355	Y
RO0092A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2009	day	Mean	annual mean	30.888	97.260	355	Y
RO0092A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2009	day	P95	95 percentile	75.059	97.260	355	Y
RO0092A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2009	day	P98	98 percentile	96.150	97.260	355	Y
RO0092A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2009	day	Max	maximum	142.185	97.260	355	Y
RO0092A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2009	hour	P50	50 percentile	21.160	93.710	8209	Y
RO0092A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2009	hour	Mean	annual mean	30.993	93.710	8209	Y
RO0092A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2009	hour	P95	95 percentile	88.250	93.710	8209	Y
RO0092A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2009	hour	P98	98 percentile	119.610	93.710	8209	Y
RO0092A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2009	hour	Max	maximum	299.750	93.710	8209	Y
RO0092A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2010	day	P50	50 percentile	21.788	97.260	355	Y
RO0092A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2010	day	Mean	annual mean	27.550	97.260	355	Y
RO0092A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2010	day	P95	95 percentile	62.589	97.260	355	Y
RO0092A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2010	day	P98	98 percentile	80.649	97.260	355	Y
RO0092A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2010	day	Max	maximum	136.843	97.260	355	Y
RO0092A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2010	hour	P50	50 percentile	19.400	93.973	8232	Y
RO0092A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2010	hour	Mean	annual mean	27.437	93.973	8232	Y
RO0092A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2010	hour	P95	95 percentile	71.770	93.973	8232	Y
RO0092A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2010	hour	P98	98 percentile	98.660	93.973	8232	Y
RO0092A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2010	hour	Max	maximum	229.910	93.973	8232	Y
RO0092A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	day	P50	50 percentile	0.105	97.534	356	Y
RO0092A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	day	Mean	annual mean	0.244	97.534	356	Y
RO0092A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	day	P95	95 percentile	0.878	97.534	356	Y
RO0092A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	day	P98	98 percentile	1.237	97.534	356	Y
RO0092A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	day	Max	maximum	2.575	97.534	356	Y
RO0092A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	dymax	P50	50 percentile	0.170	97.534	356	Y
RO0092A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	dymax	Mean	annual mean	0.426	97.534	356	Y
RO0092A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	dymax	P95	95 percentile	1.780	97.534	356	Y
RO0092A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	dymax	P98	98 percentile	2.205	97.534	356	Y
RO0092A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	dymax	Max	maximum	3.020	97.534	356	Y
RO0092A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	hour	P50	50 percentile	0.090	95.011	8323	Y
RO0092A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	hour	Mean	annual mean	0.243	95.011	8323	Y
RO0092A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	hour	P95	95 percentile	1.040	95.011	8323	Y
RO0092A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	hour	P98	98 percentile	1.770	95.011	8323	Y
RO0092A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	hour	Max	maximum	3.580	95.011	8323	Y
RO0092A	12	Lead (aerosol)	Pb	µg/m3	100	Calendar year	2009	day	P50	50 percentile	0.010	95.342	348	Y
RO0092A	12	Lead (aerosol)	Pb	µg/m3	100	Calendar year	2009	day	Mean	annual mean	0.019	95.342	348	Y
RO0092A	12	Lead (aerosol)	Pb	µg/m3	100	Calendar year	2009	day	P95	95 percentile	0.070	95.342	348	Y
RO0092A	12	Lead (aerosol)	Pb	µg/m3	100	Calendar year	2009	day	P98	98 percentile	0.090	95.342	348	Y
RO0092A	12	Lead (aerosol)	Pb	µg/m3	100	Calendar year	2009	day	Max	maximum	0.480	95.342	348	Y
RO0092A	12	Lead (aerosol)	Pb	µg/m3	100	Calendar year	2010	day	P50	50 percentile	0.010	98.630	360	Y
RO0092A	12	Lead (aerosol)	Pb	µg/m3	100	Calendar year	2010	day	Mean	annual mean	0.018	98.630	360	Y
RO0092A	12	Lead (aerosol)	Pb	µg/m3	100	Calendar year	2010	day	P95	95 percentile	0.050	98.630	360	Y
RO0092A	12	Lead (aerosol)	Pb	µg/m3	100	Calendar year	2010	day	P98	98 percentile	0.080	98.630	360	Y
RO0092A	12	Lead (aerosol)	Pb	µg/m3	100	Calendar year	2010	day	Max	maximum	0.230	98.630	360	Y
RO0092A	14	Cadmium (aerosol)	Cd	ng/m3	100	Calendar year	2009	day	P50	50 percentile	0.250	83.288	304	Y
RO0092A	14	Cadmium (aerosol)	Cd	ng/m3	100	Calendar year	2009	day	Mean	annual mean	0.943	83.288	304	Y
RO0092A	14	Cadmium (aerosol)	Cd	ng/m3	100	Calendar year	2009	day	P95	95 percentile	4.550	83.288	304	Y
RO0092A	14	Cadmium (aerosol)	Cd	ng/m3	100	Calendar year	2009	day	P98	98 percentile	8.550	83.288	304	Y
RO0092A	14	Cadmium (aerosol)	Cd	ng/m3	100	Calendar year	2009	day	Max	maximum	12.030	83.288	304	Y
RO0092A	14	Cadmium (aerosol)	Cd	ng/m3	100	Calendar year	2010	day	P50	50 percentile	0.260	98.630	360	Y
RO0092A	14	Cadmium (aerosol)	Cd	ng/m3	100	Calendar year	2010	day	Mean	annual mean	0.727	98.630	360	Y
RO0092A	14	Cadmium (aerosol)	Cd	ng/m3	100	Calendar year	2010	day	P95	95 percentile	3.090	98.630	360	Y
RO0092A	14	Cadmium (aerosol)	Cd	ng/m3	100	Calendar year	2010	day	P98	98 percentile	6.520	98.630	360	Y
RO0092A	14	Cadmium (aerosol)	Cd	ng/m3	100	Calendar year	2010	day	Max	maximum	9.380	98.630	360	Y
RO0092A	15	Nickel (aerosol)	Ni	ng/m3	100	Calendar year	2009	day	P50	50 percentile	4.600	84.110	307	Y
RO0092A	15	Nickel (aerosol)	Ni	ng/m3	100	Calendar year	2009	day	Mean	annual mean	6.870	84.110	307	Y
RO0092A	15	Nickel (aerosol)	Ni	ng/m3	100	Calendar year	2009	day	P95	95 percentile	23.090	84.110	307	Y
RO0092A	15	Nickel (aerosol)	Ni	ng/m3	100	Calendar year	2009	day	P98	98 percentile	27.600	84.110	307	Y
RO0092A	15	Nickel (aerosol)	Ni	ng/m3	100	Calendar year	2009	day	Max	maximum	38.970	84.110	307	Y
RO0092A	15	Nickel (aerosol)	Ni	ng/m3	100	Calendar year	2010	day	P50	50 percentile	1.590	97.808	357	Y
RO0092A	15	Nickel (aerosol)	Ni	ng/m3	100	Calendar year	2010	day	Mean	annual mean	3.626	97.808	357	Y
RO0092A	15	Nickel (aerosol)	Ni	ng/m3	100	Calendar year	2010	day	P95	95 percentile	14.900	97.808	357	Y
RO0092A	15	Nickel (aerosol)	Ni	ng/m3	100	Calendar year	2010	day	P98	98 percentile	19.830	97.808	357	Y
RO0092A	15	Nickel (aerosol)	Ni	ng/m3	100	Calendar year	2010	day	Max	maximum	32.390	97.808	357	Y
RO0092A	18	Arsenic (aerosol)	As	ng/m3	100	Calendar year	2010	day	P50	50 percentile	0.600	97.534	356	Y
RO0092A	18	Arsenic (aerosol)	As	ng/m3	100	Calendar year	2010	day	Mean	annual mean	0.819	97.534	356	Y
RO0092A	18	Arsenic (aerosol)	As	ng/m3	100	Calendar year	2010	day	P95	95 percentile	2.190	97.534	356	Y
RO0092A	18	Arsenic (aerosol)	As	ng/m3	100	Calendar year	2010	day	P98	98 percentile	3.330	97.534	356	Y
RO0092A	18	Arsenic (aerosol)	As	ng/m3	100	Calendar year	2010	day	Max	maximum	5.140	97.534	356	Y
RO0092A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2009	day	P50	50 percentile	1.473	93.425	341	Y
RO0092A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2009	day	Mean	annual mean	2.013	93.425	341	Y
RO0092A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2009	day	P95	95 percentile	4.975	93.425	341	Y
RO0092A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2009	day	P98	98 percentile	6.478	93.425	341	Y
RO0092A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2009	day	Max	maximum	8.113	93.425	341	Y
RO0092A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2009	hour	P50	50 percentile	1.450	93.699	8208	Y
RO0092A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2009	hour	Mean	annual mean	2.012	93.699	8208	Y
RO0092A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2009	hour	P95	95 percentile	5.640	93.699	8208	Y
RO0092A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2009	hour	P98	98 percentile	7.280	93.699	8208	Y
RO0092A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2009	hour	Max	maximum	16.850	93.699	8208	Y
RO0092A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2010	day	P50	50 percentile	2.008	93.425	341	Y
RO0092A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2010	day	Mean	annual mean	2.764	93.425	341	Y
RO0092A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2010	day	P95	95 percentile	6.737	93.425	341	Y
RO0092A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2010	day	P98	98 percentile	8.820	93.425	341	Y
RO0092A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2010	day	Max	maximum	12.431	93.425	341	Y
RO0092A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2010	hour	P50	50 percentile	1.840	94.167	8249	Y
RO0092A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2010	hour	Mean	annual mean	2.742	94.167	8249	Y
RO0092A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2010	hour	P95	95 percentile	7.850	94.167	8249	Y
RO0092A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2010	hour	P98	98 percentile	10.120	94.167	8249	Y
RO0092A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2010	hour	Max	maximum	17.990	94.167	8249	Y
RO0093A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2009	day	P50	50 percentile	8.615	94.795	346	Y
RO0093A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2009	day	Mean	annual mean	10.974	94.795	346	Y
RO0093A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2009	day	P95	95 percentile	26.836	94.795	346	Y
RO0093A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2009	day	P98	98 percentile	37.376	94.795	346	Y
RO0093A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2009	day	Max	maximum	67.337	94.795	346	Y
RO0093A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2009	day	Max4	4th highest value	45.895	94.795	346	Y
RO0093A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2009	day	Days(c > 125)	days with c > 125 ug/m3	0.000	94.795	346	Y
RO0093A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2009	hour	P50	50 percentile	7.090	93.082	8154	Y
