station_european_code	component_code	component_caption	component_name	component_FWD	measurement_european_group_code	measurement_unit	measurement_group_start_date	measurement_group_end_date	measurement_latest_AIRBASE	measurement_european_code	measurement_start_date	measurement_end_date	measurement_automatic	measurement_technique_principle	measurement_equipment	integration_time_frequency	calibration_unit	height_sampling_point	length_sampling_line	location_sampling_point	sampling_time	sampling_time_unit	calibration_frequency	integration_time_unit	calibration_method	calibration_description
RO0098A	15	Ni	Nickel (aerosol)	yes	100	ng/m3	2009-01-01		2010-12-31	100	2009-01-01		no	atomic absorption spectrometry	UNKNOWN	1	day	4	2	roof	1	natural day	14	day	standard solution	
RO0098A	18	As	Arsenic (aerosol)	yes	100	ng/m3	2009-01-01		2010-12-31	100	2009-01-01		no	atomic absorption spectrometry	UNKNOWN	1	day	4	2	roof	1	natural day	14	day	standard solution	
RO0098A	20	C6H6	Benzene (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	Gas chromatography with photo ionization detector	ORION	1	month	4	2		0		3	hour	compressed gases	
RO0099A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2008-01-01		2009-12-31	100	2008-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0099A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2009-01-01			100	2009-01-01		yes	nephelometry	unitec	1	month	4	2	roof	0		6	hour	reference measurement meth.	
RO0099A	7	O3	Ozone (air)	yes	100	µg/m3	2009-01-01		2009-12-31	100	2009-01-01		yes	UV absorption	ORION	1	month	4	2	roof	0		3	hour	uv lamp (ozone generator)	
RO0099A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2008-01-01		2009-12-31	100	2008-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0099A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2008-01-01		2009-12-31	100	2008-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0099A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2008-01-01		2009-12-31	100	2008-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0099A	20	C6H6	Benzene (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	Gas chromatography with photo ionization detector	ORION	1	month	4	2	roof	0		3	hour	compressed gases	
RO0099A	6001	PM2.5	Particulate matter < 2.5 µm (aerosol)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		no	gravimetry	Tecora	1	month	4	2	roof	0		6	day	flow rate check	
RO0100A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2009-01-01			100	2009-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0100A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		no	gravimetry	Tecora	1	month	4	2	roof	0		6	day	unknown	
RO0100A	7	O3	Ozone (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	UV absorption	ORION	1	month	4	2	roof	0		3	hour	uv lamp (ozone generator)	
RO0100A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0100A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0100A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2009-01-01			100	2009-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0100A	14	Cd	Cadmium (aerosol)	yes	100	ng/m3	2009-01-01		2009-12-31	100	2009-01-01		no	atomic absorption spectrometry	UNKNOWN	1	day	4	2	roof	1	natural day	14	day	standard solution	
RO0100A	15	Ni	Nickel (aerosol)	yes	100	ng/m3	2009-01-01		2009-12-31	100	2009-01-01		no	atomic absorption spectrometry	UNKNOWN	1	day	4	2	roof	1	natural day	14	day	standard solution	
RO0100A	18	As	Arsenic (aerosol)	yes	100	ng/m3	2009-01-01			100	2009-01-01		no	atomic absorption spectrometry	UNKNOWN	1	day	4	2	roof	1	natural day	14	day	standard solution	
RO0100A	20	C6H6	Benzene (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	Gas chromatography with photo ionization detector	ORION	1	month	4	2	roof	0		3	hour	compressed gases	
RO0101A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2008-01-01		2009-12-31	100	2008-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0101A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2009-01-01		2009-12-31	100	2009-01-01		no	gravimetry	Tecora	1	month	4	2	roof	0		6	day	unknown	
RO0101A	7	O3	Ozone (air)	yes	100	µg/m3	2008-01-01		2009-12-31	100	2008-01-01		yes	UV absorption	ORION	1	month	4	2	roof	0		3	hour	uv lamp (ozone generator)	
RO0101A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2008-01-01		2009-12-31	100	2008-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0101A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2008-01-01		2009-12-31	100	2008-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0101A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2008-01-01		2009-12-31	100	2008-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0101A	14	Cd	Cadmium (aerosol)	yes	100	ng/m3	2009-01-01		2009-12-31	100	2009-01-01		no	atomic absorption spectrometry	UNKNOWN	1	day	4	2	roof	1	natural day	14	day	standard solution	
RO0101A	15	Ni	Nickel (aerosol)	yes	100	ng/m3	2009-01-01		2009-12-31	100	2009-01-01		no	atomic absorption spectrometry	UNKNOWN	1	day	4	2	roof	1	natural day	14	day	standard solution	
RO0101A	18	As	Arsenic (aerosol)	yes	100	ng/m3	2009-01-01		2009-12-31	100	2009-01-01		no	atomic absorption spectrometry	UNKNOWN	1	day	4	2	roof	1	natural day	14	day	standard solution	
RO0101A	20	C6H6	Benzene (air)	yes	100	µg/m3	2008-01-01		2009-12-31	100	2008-01-01		yes	Gas chromatography with photo ionization detector	ORION	1	month	4	2	roof	0		3	hour	compressed gases	
RO0102A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2009-01-01		2009-12-31	100	2009-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0102A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2009-01-01			100	2009-01-01		yes	nephelometry	unitec	1	month	4	2	roof	0		6	hour	reference measurement meth.	
RO0102A	7	O3	Ozone (air)	yes	100	µg/m3	2009-01-01		2009-12-31	100	2009-01-01		yes	UV absorption	ORION	1	month	4	2	roof	0		3	hour	uv lamp (ozone generator)	
RO0102A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2009-01-01			100	2009-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0102A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2009-01-01			100	2009-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0102A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2009-01-01		2009-12-31	100	2009-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0102A	20	C6H6	Benzene (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	Gas chromatography with photo ionization detector	ORION	1	month	4	2	roof	0		3	hour	compressed gases	
RO0103A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2010-01-01		2010-12-31	100	2010-01-01		yes	UV fluorescence	ORION	1	month	4	2		0		3	hour		
RO0103A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2010-01-01			100	2010-01-01		yes	Beta ray attenuation	UNDEFINED	1	month	4	2	roof	0		6	hour		
RO0103A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	101	µg/m3	2010-01-01			101	2010-01-01		no	gravimetry	Tecora	1	month	4	2	roof	0		6	day		
RO0103A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2010-01-01			100	2010-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		3	hour		
RO0103A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2010-01-01			100	2010-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		3	hour		
RO0103A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2010-01-01		2010-12-31	100	2010-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		3	hour		
RO0103A	12	Pb	Lead (aerosol)	yes	100	µg/m3	2010-01-01			100	2010-01-01		no	atomic absorption spectrometry	UNDEFINED	1	month	4	2	roof	0		6	day		
RO0103A	14	Cd	Cadmium (aerosol)	yes	100	ng/m3	2010-01-01			100	2010-01-01		no	atomic absorption spectrometry	UNDEFINED	1	month	4	2	roof	0		6	day		
RO0103A	15	Ni	Nickel (aerosol)	yes	100	ng/m3	2010-01-01			100	2010-01-01		no	atomic absorption spectrometry	UNDEFINED	1	month	4	2	roof	0		6	day		
RO0103A	18	As	Arsenic (aerosol)	yes	100	ng/m3	2010-01-01			100	2010-01-01		no	atomic absorption spectrometry	UNDEFINED	1	month	4	2	roof	0		6	day		
RO0103A	38	NO	Nitrogen monoxide (air)	no	100	µg/m3	2010-01-01			100	2010-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		3	hour		
RO0058A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2003-01-01	2008-12-31	2008-12-31	100	2003-01-01	2008-12-31	yes	DOAS	OPSIS	1	year	0	0		0		1	hour	unknown	
RO0058A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2003-01-01	2008-12-31	2007-12-31	100	2003-01-01	2008-12-31	no	gravimetry	OPSIS SM200	24	year	2	2	facade of building	0		1	hour	standard mass	
RO0058A	7	O3	Ozone (air)	yes	100	µg/m3	2003-01-01	2007-12-31	2007-12-31	100	2003-01-01	2007-12-31	yes	DOAS	OPSIS	1	year	0	0		0		1	hour		
RO0058A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2003-01-01	2008-12-31	2008-12-31	100	2003-01-01	2008-12-31	yes	DOAS	OPSIS	1	year	0	0		0		1	hour	unknown	
RO0058A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2003-01-01	2008-12-31	2008-12-31	100	2003-01-01	2008-12-31	yes	DOAS	OPSIS	1	year	0	0		0		1	hour		
RO0058A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2003-01-01	2006-12-31	2006-12-31	100	2003-01-01	2006-12-31	yes	DOAS	OPSIS	1	year	0	0		0		1	hour		
RO0058A	11	H2S	Hydrogen sulphide (air)	no	100	µg/m3	2003-01-01	2006-12-31	2006-12-31	100	2003-01-01	2006-12-31	yes	DOAS	OPSIS	1	year	0	0		0		1	hour	unknown	
RO0058A	20	C6H6	Benzene (air)	yes	100	µg/m3	2003-01-01	2007-12-31	2006-12-31	100	2003-01-01	2007-12-31	yes	DOAS	OPSIS	1	year	0	0		0		1	hour	unknown	
RO0058A	21	C6H5-CH3	Toluene (air)	no	100	µg/m3	2003-01-01	2006-12-31	2006-12-31	100	2003-01-01	2006-12-31	yes	DOAS	OPSIS	1	year	0	0		0		1	hour		
RO0058A	22	C6H5-CH=CH2	Styrene (air)	no	100	µg/m3	2003-01-01	2006-12-31	2006-12-31	100	2003-01-01	2006-12-31	yes	DOAS	OPSIS	1	year	0	0		0		1	hour		
RO0058A	38	NO	Nitrogen monoxide (air)	no	100	µg/m3	2003-01-01	2008-12-31	2008-12-31	100	2003-01-01	2008-12-31	yes	DOAS	OPSIS	1	year	0	0		0		1	hour		
RO0058A	39	HCl	Hydrogen chloride (air)	no	100	µg/m3	2003-01-01	2006-12-31	2006-12-31	100	2003-01-01	2006-12-31	yes	DOAS	OPSIS	1	year	0	0		0		1	hour	unknown	
RO0056A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	1998-01-01	2005-12-31	2005-12-31	100	1998-01-01	2005-12-31	no	spectrophotometry	photocolorimeter	24	year	2	1	facade of building	0		1	hour	standard solution	
RO0056A	4	SPM	Total suspended particulates (aerosol)	yes	100	µg/m3	1998-01-01	2007-12-31	2005-12-31	100	1998-01-01	2007-12-31	no	gravimetry	UNDEFINED	24	year	2	1	facade of building	0		1	hour	standard mass	
RO0056A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2006-01-01	2007-12-31	2007-12-31	100	2006-01-01	2007-12-31	no	gravimetry	FILTER	1		0	0		0			day		
RO0056A	7	O3	Ozone (air)	yes	100	µg/m3	2002-01-01	2007-12-31	2008-12-31	100	2002-01-01	2007-12-31	yes	UV absorption	HORIBA APOA 360	1	year	2	1	facade of building	0		1	hour	uv lamp (ozone generator)	
RO0056A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	1998-01-01	2007-12-31	2007-12-31	100	1998-01-01	2007-12-31	no	spectrophotometry	photocolorimeter	24	year	2	1	facade of building	0		1	hour	standard solution	
RO0056A	35	NH3	Ammonia (air)	no	100	µg/m3	1999-01-01	2007-12-31	2007-12-31	100	1999-01-01	2007-12-31	no	spectrophotometry	photocolorimeter	24	year	2	1		0		1	hour	standard solution	
RO0091A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2007-01-01	2007-12-31	2008-12-31	100	2007-01-01	2007-12-31	no	gravimetry	UNDEFINED	1		1	1		0			day		
RO0091A	7	O3	Ozone (air)	yes	100	µg/m3	2005-01-01	2007-12-31	2008-12-31	100	2005-01-01	2007-12-31	yes	UV absorption	UNKNOWN	1		0	0		0			hour		
RO0091A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2005-01-01	2007-12-31	2007-12-31	100	2005-01-01	2007-12-31	yes	chemiluminescence	UNKNOWN	1		2	1		0			hour		
RO0095A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2009-01-01		2009-12-31	100	2009-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0095A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	nephelometry	unitec	1	month	4	2	roof	0		6	hour	reference measurement meth.	
RO0095A	7	O3	Ozone (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	UV absorption	ORION	1	month	4	2	roof	0		3	hour	uv lamp (ozone generator)	
RO0095A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0095A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0095A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0095A	20	C6H6	Benzene (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	Gas chromatography with photo ionization detector	ORION	1	month	4	2	roof	0		3	hour	compressed gases	
RO0096A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0096A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2009-01-01			100	2009-01-01		yes	nephelometry	unitec	1	month	4	2	roof	0		6	hour	reference measurement meth.	
RO0096A	7	O3	Ozone (air)	yes	100	µg/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	UV absorption	ORION	1	month	4	2	roof	0		3	hour	uv lamp (ozone generator)	
RO0096A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0096A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2009-01-01		2010-12-31	100	2009-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0096A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2008-01-01		2010-12-31	100	2008-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour	compressed gases	
RO0096A	6001	PM2.5	Particulate matter < 2.5 µm (aerosol)	yes	100	µg/m3	2009-01-01		2010-12-31	100	2009-01-01		no	gravimetry	Tecora	1	month	4	2	roof	0		6	day	flow rate check	
RO0097A	1	SO2	Sulphur dioxide (air)	yes	100	µg/m3	2010-01-01			100	2010-01-01		yes	UV fluorescence	ORION	1	month	4	2	roof	0		3	hour		
RO0097A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	100	µg/m3	2010-01-01			100	2010-01-01		no	gravimetry	Tecora	1	month	4	2	roof	0		6	day		
RO0097A	5	PM10	Particulate matter < 10 µm (aerosol)	yes	101	µg/m3	2010-01-01			101	2010-01-01		yes	Beta ray attenuation	UNDEFINED	1	month	4	2	roof	0		6	hour		
RO0097A	8	NO2	Nitrogen dioxide (air)	yes	100	µg/m3	2010-01-01		2010-12-31	100	2010-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		3	hour		
RO0097A	9	NOX	Nitrogen oxides (air)	yes	100	µg NO2/m3	2010-01-01		2010-12-31	100	2010-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		3	hour		
RO0097A	10	CO	Carbon monoxide (air)	yes	100	mg/m3	2010-01-01		2010-12-31	100	2010-01-01		yes	Non-dispersive infrared absorption,infrared gas filter corre	ORION	1	month	4	2	roof	0		4	hour		
RO0097A	20	C6H6	Benzene (air)	yes	100	µg/m3	2010-01-01			100	2010-01-01		yes	Gas chromatography with photo ionization detector	ORION	1	month	4	2	roof	0		3	hour	compressed gases	
RO0097A	21	C6H5-CH3	Toluene (air)	no	100	µg/m3	2010-01-01			100	2010-01-01		no	UNKNOWN	UNDEFINED	1	month	4	2	roof	0		3	hour		
RO0097A	38	NO	Nitrogen monoxide (air)	no	100	µg/m3	2010-01-01			100	2010-01-01		yes	chemiluminescence	ORION	1	month	4	2	roof	0		3	hour		
RO0097A	431	C6H5-C2H5	Ethyl benzene (air)	no	100	µg/m3	2010-01-01			100	2010-01-01		no	UNKNOWN	UNDEFINED	1	month	4	2	roof	0		3	hour	reference measurement meth.	
RO0097A	464	m,p-C6H4(CH3)2	m,p-Xylene (air)	no	100	µg/m3	2010-01-01			100	2010-01-01		no	UNKNOWN	UNDEFINED	1	month	4	2	roof	0		3	hour		
RO0097A	482	o-C6H4-(CH3)2	o-Xylene (air)	no	100	µg/m3	2010-01-01			100	2010-01-01		no	UNKNOWN	UNDEFINED	1	month	4	2	roof	0		3	hour		
