ICAO,IATA,AirportName,Municipality,Country
EGAC,BHD,George Best Belfast City Airport,Belfast,United Kingdom
EGPF,GLA,Glasgow International Airport,Glasgow,United Kingdom
ESGG,GOT,Gothenburg-Landvetter Airport,Gothenburg,Sweden
GCLP,LPA,Gran Canaria Airport,Gran Canaria Island,Spain
URMG,GRV,Grozny North Airport,Grozny,Russia
EDDH,HAM,Hamburg Airport,Hamburg,Germany
EDDV,HAJ,Hannover Airport,Hannover,Germany
EFHK,HEL,Helsinki Vantaa Airport,Helsinki,Finland
LROP,OTP,Bucharest Henri Coandă International Airport,Bucharest,Romania
LGIR,HER,Heraklion International Nikos Kazantzakis Airport,Heraklion,Greece
LPPT,LIS,Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,Portugal
LIME,BGY,Il Caravaggio International Airport,Bergamo,Italy
LPPD,PDL,João Paulo II Airport,Ponta Delgada,Portugal
EDSB,FKB,Karlsruhe Baden-Baden Airport,Baden-Baden,Germany
EPKT,KTW,Katowice International Airport,Katowice,Poland
UWKD,KZN,Kazan International Airport,Kazan,Russia
BIKF,KEF,Keflavik International Airport,Reykjavík,Iceland
UKHH,HRK,Kharkiv International Airport,Kharkiv,Ukraine
EPKK,KRK,Kraków John Paul II International Airport,Kraków,Poland
UWWW,KUF,Kurumoch International Airport,Samara,Russia
GCLA,SPC,La Palma Airport,"Sta Cruz de la Palma, La Palma Island",Spain
LPLA,TER,Lajes Airport,Praia da Vitória,Portugal
EGNM,LBA,Leeds Bradford Airport,Leeds,United Kingdom
EDDP,LEJ,Leipzig/Halle Airport,Leipzig,Germany
EETN,TLL,Tallinn Airport,Tallinn,Estonia
LIRF,FCO,"Rome–Fiumicino International Airport ""Leonardo da Vinci""",Rome,Italy
EBLG,LGG,Liège Airport,Liège,Belgium
EGGP,LPL,Liverpool John Lennon Airport,Liverpool,United Kingdom
LJLJ,LJU,Ljubljana Jože Pučnik Airport,Ljubljana,Slovenia
EGKK,LGW,London Gatwick Airport,London,United Kingdom
EGLL,LHR,London Heathrow Airport,London,United Kingdom
EGGW,LTN,London Luton Airport,London,United Kingdom
EGSS,STN,London Stansted Airport,London,United Kingdom
ESPA,LLA,Luleå Airport,Luleå,Sweden
ELLX,LUX,Luxembourg-Findel International Airport,Luxembourg,Luxembourg
LFLL,LYS,Lyon Saint-Exupéry Airport,Lyon,France
LZIB,BTS,Bratislava Airport,Bratislava,Slovakia
LEMG,AGP,Málaga Airport,Málaga,Spain
ESMS,MMX,Malmö Airport,Malmö,Sweden
LIMC,MXP,Malpensa International Airport,Milan,Italy
LMML,MLA,Malta International Airport,Valletta,Malta
EGCC,MAN,Manchester Airport,Manchester,United Kingdom
LFML,MRS,Marseille Provence Airport,Marseille,France
LIML,LIN,Milano Linate Airport,Milan,Italy
UMMS,MSQ,Minsk National Airport,Minsk,Belarus
EPMO,WMI,Modlin Airport,Warsaw,Poland
EDDM,MUC,Munich Airport,Munich,Germany
EDDG,FMO,Münster Osnabrück Airport,Münster,Germany
LIRN,NAP,Naples International Airport,Nápoli,Italy
EGNT,NCL,Newcastle Airport,Newcastle,United Kingdom
LFMN,NCE,Nice-Côte d'Azur Airport,Nice,France
EGSH,NWI,Norwich International Airport,Norwich,United Kingdom
EDDN,NUE,Nuremberg Airport,Nuremberg,Germany
UKOO,ODS,Odessa International Airport,Odessa,Ukraine
ENGM,OSL,Oslo Gardermoen Airport,Oslo,Norway
LEPA,PMI,Palma De Mallorca Airport,Palma De Mallorca,Spain
LFPO,ORY,Paris-Orly Airport,Paris,France
LIRP,PSA,Pisa International Airport,Pisa,Italy
URRP,ROV,Platov International Airport,Rostov-on-Don,Russia
LYPG,TGD,Podgorica Airport,Podgorica,Montenegro
EPPO,POZ,Poznań-Ławica Airport,Poznań,Poland
BKPR,PRN,Priština International Airport,Prishtina,Kosovo
ULLI,LED,Pulkovo Airport,St. Petersburg,Russia
LCRA,AKT,RAF Akrotiri,Akrotiri,United Kingdom
EGVN,BZZ,RAF Brize Norton,Brize Norton,United Kingdom
EGVA,FFD,RAF Fairford,Fairford,United Kingdom
EGUL,LKZ,RAF Lakenheath,Lakenheath,United Kingdom
EGUN,MHZ,RAF Mildenhall,Mildenhall,United Kingdom
ETAR,RMS,Ramstein Air Base,Ramstein,Germany
EVRA,RIX,Riga International Airport,Riga,Latvia
EGCN,DSA,Robin Hood Doncaster Sheffield Airport,Doncaster,United Kingdom
LEST,SCQ,Santiago de Compostela Airport,Santiago de Compostela,Spain
LQSA,SJJ,Sarajevo International Airport,Sarajevo,Bosnia and Herzegovina
EINN,SNN,Shannon Airport,Shannon,Ireland
UUEE,SVO,Sheremetyevo International Airport,Moscow,Russia
UKFF,SIP,Simferopol International Airport,Simferopol,Ukraine
LWSK,SKP,Skopje Alexander the Great Airport,Skopje,Macedonia
URSS,AER,Sochi International Airport,Sochi,Russia
LBSF,SOF,Sofia Airport,Sofia,Bulgaria
EGHI,SOU,Southampton Airport,Southampton,United Kingdom
ENZV,SVG,Stavanger Airport Sola,Stavanger,Norway
ESSA,ARN,Stockholm Arlanda Airport,Stockholm,Sweden
EDDS,STR,Stuttgart Airport,Stuttgart,Germany
GCXO,TFN,Tenerife North Airport,Tenerife Island,Spain
GCTS,TFS,Tenerife South Airport,Tenerife Island,Spain
LGTS,SKG,Thessaloniki Macedonia International Airport,Thessaloniki,Greece
LATI,TIA,Tirana International Airport Mother Teresa,Tirana,Albania
LFBO,TLS,Toulouse-Blagnac Airport,Toulouse/Blagnac,France
LIPH,TSF,Treviso-Sant'Angelo Airport,Treviso,Italy
ENTC,TOS,Tromsø Airport,Tromsø,Norway
ENVA,TRD,Trondheim Airport Værnes,Trondheim,Norway
LIMF,TRN,Turin Airport,Torino,Italy
UWUU,UFA,Ufa International Airport,Ufa,Russia
LKPR,PRG,Václav Havel Airport Prague,Prague,Czechia
LBWN,VAR,Varna Airport,Varna,Bulgaria
LIPZ,VCE,Venice Marco Polo Airport,Venice,Italy
LIPX,VRN,Verona Villafranca Airport,Verona,Italy
LOWW,VIE,Vienna International Airport,Vienna,Austria
EYVI,VNO,Vilnius International Airport,Vilnius,Lithuania
UUWW,VKO,Vnukovo International Airport,Moscow,Russia
EPWA,WAW,Warsaw Chopin Airport,Warsaw,Poland
UNKL,KJA,Yemelyanovo Airport,Krasnoyarsk,Russia
LDZA,ZAG,Zagreb Airport,Zagreb,Croatia
UUBW,ZIA,Zhukovsky International Airport,Moscow,Russia
LSZH,ZRH,Zürich Airport,Zurich,Switzerland
